keywords,counts,years
fish cells,1,1987
"fish cells,temperature",1,1987
"fish cells,temperature,uv sensiti...",1,1987
"fish cells,temperature,uv sensiti...",1,1987
"fish cells,temperature,uv sensiti...",1,1987
chilling stress,1,1988
"chilling stress,pea",1,1988
"chilling stress,pea,mungbean",1,1988
"chilling stress,pea,mungbean,chil...",1,1988
"chilling stress,pea,mungbean,chil...",1,1988
"chilling stress,pea,mungbean,chil...",1,1988
"chilling stress,pea,mungbean,chil...",1,1988
"chilling stress,pea,mungbean,chil...",1,1988
leaf structure,1,1993
"leaf structure,leaf characters",1,1993
"leaf structure,leaf characters,su...",1,1993
"leaf structure,leaf characters,su...",1,1993
"leaf structure,leaf characters,su...",1,1993
"leaf structure,leaf characters,su...",1,1993
葉片結構,1,1993
"葉片結構,葉片特徵",1,1993
"葉片結構,葉片特徵,亞熱帶雨林",1,1993
"葉片結構,葉片特徵,亞熱帶雨林,硬葉林",1,1993
"葉片結構,葉片特徵,亞熱帶雨林,硬葉林,判別分析",1,1993
"葉片結構,葉片特徵,亞熱帶雨林,硬葉林,判別分析,主成分分析。",1,1993
anguilla japonica,1,1994
"anguilla japonica,elver",1,1994
"anguilla japonica,elver,otolith",1,1994
"anguilla japonica,elver,otolith,d...",1,1994
"anguilla japonica,elver,otolith,d...",1,1994
"anguilla japonica,elver,otolith,d...",1,1994
"anguilla japonica,elver,otolith,d...",1,1994
"anguilla japonica,elver,otolith,d...",1,1994
日本鰻,1,1994
"日本鰻,鰻線",1,1994
"日本鰻,鰻線,耳石",1,1994
"日本鰻,鰻線,耳石,日周輪",1,1994
"日本鰻,鰻線,耳石,日周輪,變態記號",1,1994
"日本鰻,鰻線,耳石,日周輪,變態記號,產卵期",1,1994
"日本鰻,鰻線,耳石,日周輪,變態記號,產卵期,洄游。",1,1994
bird,1,1995
"bird,community ecology",1,1995
"bird,community ecology,elevation",1,1995
"bird,community ecology,elevation,...",1,1995
"bird,community ecology,elevation,...",1,1995
"bird,community ecology,elevation,...",1,1995
鳥類,1,1995
"鳥類,群聚生態",1,1995
"鳥類,群聚生態,海拔",1,1995
"鳥類,群聚生態,海拔,生態同功群",1,1995
"鳥類,群聚生態,海拔,生態同功群,多變數分析",1,1995
"鳥類,群聚生態,海拔,生態同功群,多變數分析,植群",1,1995
美洲鰻,1,1996
"美洲鰻,歐洲鰻",1,1996
"美洲鰻,歐洲鰻,鰻線",1,1996
"美洲鰻,歐洲鰻,鰻線,耳石",1,1996
"美洲鰻,歐洲鰻,鰻線,耳石,微化學",1,1996
"美洲鰻,歐洲鰻,鰻線,耳石,微化學,變態輪",1,1996
"美洲鰻,歐洲鰻,鰻線,耳石,微化學,變態輪,日齡",1,1996
"美洲鰻,歐洲鰻,鰻線,耳石,微化學,變態輪,日齡,洄游",1,1996
"美洲鰻,歐洲鰻,鰻線,耳石,微化學,變態輪,日齡,洄游,地理傾斜",1,1996
"美洲鰻,歐洲鰻,鰻線,耳石,微化學,變態輪,日齡,洄游,地理傾斜,...",1,1996
headkidney,1,1997
"headkidney, nephrosin",1,1997
"headkidney, nephrosin, astacin",1,1997
"headkidney, nephrosin, astacin, e...",1,1997
"headkidney, nephrosin, astacin, e...",1,1997
slime molds,1,1997
"slime molds,myxomycetes",1,1997
"slime molds,myxomycetes,ecology",1,1997
"slime molds,myxomycetes,ecology,c...",1,1997
"slime molds,myxomycetes,ecology,c...",1,1997
"slime molds,myxomycetes,ecology,c...",1,1997
"slime molds,myxomycetes,ecology,c...",1,1997
"slime molds,myxomycetes,ecology,c...",1,1997
頭腎、腎泌分解?、細胞間質、耦合金屬蛋白?、組織萃取。,1,1997
黏菌,1,1997
"黏菌,真黏菌",1,1997
"黏菌,真黏菌,樹皮黏菌",1,1997
"黏菌,真黏菌,樹皮黏菌,生態",1,1997
"黏菌,真黏菌,樹皮黏菌,生態,亞熱帶雨林",1,1997
"黏菌,真黏菌,樹皮黏菌,生態,亞熱帶雨林,南仁山",1,1997
"黏菌,真黏菌,樹皮黏菌,生態,亞熱帶雨林,南仁山,萬?得山",1,1997
"黏菌,真黏菌,樹皮黏菌,生態,亞熱帶雨林,南仁山,萬?得山,台灣。",1,1997
fushan experimental forest,1,1998
"fushan experimental forest,epiphyte",1,1998
"fushan experimental forest,epiphy...",1,1998
"fushan experimental forest,epiphy...",1,1998
pteridophyte,1,1998
"pteridophyte,venation pattern",1,1998
"pteridophyte,venation pattern,sys...",1,1998
slime mold,1,1998
"slime mold,myxomycetes",1,1998
"slime mold,myxomycetes,ecology",1,1998
"slime mold,myxomycetes,ecology,su...",1,1998
"slime mold,myxomycetes,ecology,su...",1,1998
"slime mold,myxomycetes,ecology,su...",1,1998
trachinocephalus myops,1,1998
"trachinocephalus myops,yield per ...",1,1998
"trachinocephalus myops,yield per ...",1,1998
"trachinocephalus myops,yield per ...",1,1998
"trachinocephalus myops,yield per ...",1,1998
western n. pacific,1,1998
"western n. pacific,ichthyoplankton",1,1998
"western n. pacific,ichthyoplankto...",1,1998
"western n. pacific,ichthyoplankto...",1,1998
"western n. pacific,ichthyoplankto...",1,1998
"western n. pacific,ichthyoplankto...",1,1998
"western n. pacific,ichthyoplankto...",1,1998
短吻花桿狗母魚,1,1998
"短吻花桿狗母魚,單位元加入生?量模式",1,1998
"短吻花桿狗母魚,單位元加入生?量模式,成熟",1,1998
"短吻花桿狗母魚,單位元加入生?量模式,成熟,產卵",1,1998
"短吻花桿狗母魚,單位元加入生?量模式,成熟,產卵,孕卵數",1,1998
九孔血液細胞,1,1999
"九孔血液細胞,細胞附著",1,1999
"九孔血液細胞,細胞附著,訊息傳遞",1,1999
日本樹蛙,1,1999
"日本樹蛙,溫泉",1,1999
"日本樹蛙,溫泉,生殖",1,1999
"日本樹蛙,溫泉,生殖,溫度生理",1,1999
"日本樹蛙,溫泉,生殖,溫度生理,氧氣消耗量",1,1999
"日本樹蛙,溫泉,生殖,溫度生理,氧氣消耗量,溫度耐受度",1,1999
