keywords,counts,years
"葉片結構,葉片特徵,亞熱帶雨林,硬葉林,判別分析",1,1993
"葉片結構,葉片特徵,亞熱帶雨林,硬葉林,判別分析,主成分分析。",1,1993
"日本鰻,鰻線,耳石",1,1994
"日本鰻,鰻線,耳石,日周輪",1,1994
"日本鰻,鰻線,耳石,日周輪,變態記號",1,1994
"日本鰻,鰻線,耳石,日周輪,變態記號,產卵期",1,1994
"日本鰻,鰻線,耳石,日周輪,變態記號,產卵期,洄游。",1,1994
"鳥類,群聚生態,海拔,生態同功群,多變數分析",1,1995
"鳥類,群聚生態,海拔,生態同功群,多變數分析,植群",1,1995
"slime molds,myxomycetes,ecology,c...",1,1997
"slime molds,myxomycetes,ecology,c...",1,1997
"slime molds,myxomycetes,ecology,c...",1,1997
頭腎、腎泌分解?、細胞間質、耦合金屬蛋白?、組織萃取。,1,1997
黏菌,1,1997
"黏菌,真黏菌",1,1997
"黏菌,真黏菌,樹皮黏菌",1,1997
"黏菌,真黏菌,樹皮黏菌,生態",1,1997
"黏菌,真黏菌,樹皮黏菌,生態,亞熱帶雨林",1,1997
"黏菌,真黏菌,樹皮黏菌,生態,亞熱帶雨林,南仁山",1,1997
"黏菌,真黏菌,樹皮黏菌,生態,亞熱帶雨林,南仁山,萬?得山",1,1997
"黏菌,真黏菌,樹皮黏菌,生態,亞熱帶雨林,南仁山,萬?得山,台灣。",1,1997
"slime mold,myxomycetes,ecology,su...",1,1998
"slime mold,myxomycetes,ecology,su...",1,1998
"slime mold,myxomycetes,ecology,su...",1,1998
trachinocephalus myops,1,1998
"trachinocephalus myops,yield per ...",1,1998
"trachinocephalus myops,yield per ...",1,1998
"trachinocephalus myops,yield per ...",1,1998
"trachinocephalus myops,yield per ...",1,1998
western n. pacific,1,1998
"western n. pacific,ichthyoplankton",1,1998
"western n. pacific,ichthyoplankto...",1,1998
"western n. pacific,ichthyoplankto...",1,1998
"western n. pacific,ichthyoplankto...",1,1998
"western n. pacific,ichthyoplankto...",1,1998
"western n. pacific,ichthyoplankto...",1,1998
短吻花桿狗母魚,1,1998
"短吻花桿狗母魚,單位元加入生?量模式",1,1998
"短吻花桿狗母魚,單位元加入生?量模式,成熟",1,1998
"短吻花桿狗母魚,單位元加入生?量模式,成熟,產卵",1,1998
"短吻花桿狗母魚,單位元加入生?量模式,成熟,產卵,孕卵數",1,1998
福山試驗林,1,1998
"福山試驗林,著生植物",1,1998
"福山試驗林,著生植物,生物量",1,1998
"福山試驗林,著生植物,生物量,養分含量",1,1998
蕨類植物,1,1998
"蕨類植物,脈相",1,1998
"蕨類植物,脈相,系統演化",1,1998
西北太平洋,1,1998
"西北太平洋,浮游魚類",1,1998
"西北太平洋,浮游魚類,浮游橈足類",1,1998
"西北太平洋,浮游魚類,浮游橈足類,分佈相關",1,1998
"西北太平洋,浮游魚類,浮游橈足類,分佈相關,共現群",1,1998
"西北太平洋,浮游魚類,浮游橈足類,分佈相關,共現群,聚類分析指標生物",1,1998
黏菌,1,1998
"黏菌,真黏菌",1,1998
"黏菌,真黏菌,生態",1,1998
"黏菌,真黏菌,生態,碎屑食物鏈",1,1998
"黏菌,真黏菌,生態,碎屑食物鏈,亞熱帶森林",1,1998
"黏菌,真黏菌,生態,碎屑食物鏈,亞熱帶森林,文山植物園",1,1998
"黏菌,真黏菌,生態,碎屑食物鏈,亞熱帶森林,文山植物園,台灣。",1,1998
"true slime mold,myxomycetes,ecolo...",1,2000
太平洋白蝦,1,2000
"太平洋白蝦,桃拉症",1,2000
"太平洋白蝦,桃拉症,血漿",1,2000
烏坵嶼,1,2000
"烏坵嶼,3.5千赫回聲",1,2000
長鰭鮪,1,2000
"長鰭鮪,印度洋",1,2000
"長鰭鮪,印度洋,尺度",1,2000
"長鰭鮪,印度洋,尺度,cpue",1,2000
"長鰭鮪,印度洋,尺度,cpue,水產海洋學",1,2000
"長鰭鮪,印度洋,尺度,cpue,水產海洋學,多變數分析",1,2000
"長鰭鮪,印度洋,尺度,cpue,水產海洋學,多變數分析,enso",1,2000
鳥類群聚（avian assemblages）,1,2000
"鳥類群聚（avian assemblages）,時間變異（temp...",1,2000
"鳥類群聚（avian assemblages）,時間變異（temp...",1,2000
"鳥類群聚（avian assemblages）,時間變異（temp...",1,2000
黏菌,1,2000
"黏菌,真黏菌",1,2000
"黏菌,真黏菌,生態",1,2000
"黏菌,真黏菌,生態,亞熱帶森林",1,2000
"黏菌,真黏菌,生態,亞熱帶森林,文山植物園",1,2000
"黏菌,真黏菌,生態,亞熱帶森林,文山植物園,台灣。",1,2000
"景觀生態學,景觀變遷,破碎化,生態同功群,空間分佈",2,2001
biodiversity,1,2001
"biodiversity,ground spider",1,2001
"biodiversity,ground spider,uplift...",1,2001
"biodiversity,ground spider,uplift...",1,2001
"biodiversity,ground spider,uplift...",1,2001
exploratory behaviour,1,2001
"exploratory behaviour,styan's bulbul",1,2001
"exploratory behaviour,styan's bul...",1,2001
